keys,fr,en
UI_MENU_TITLE,Dame de pique,Hearts
UI_MENU_NEW_GAME,NOUVELLE PARTIE,NEW GAME
UI_MENU_SCORES,SCORES,SCORES
UI_MENU_SETTINGS,CONFIGURATION,SETTINGS
UI_MENU_QUIT,QUITTER,QUIT
UI_SETTINGS_TITLE,Configuration,Settings
UI_SETTINGS_SFX_VOLUME,Volume SFX,SFX volume
UI_SETTINGS_MUSIC_VOLUME,Volume musique,Music volume
UI_SETTINGS_MUSIC_ENABLED,Musique activée,Music enabled
UI_SETTINGS_TABLE_THEME,Thème table,Table theme
UI_SETTINGS_LANGUAGE,Langue,Language
UI_SETTINGS_LANG_FR,Français,French
UI_SETTINGS_LANG_EN,English,English
UI_SCORES_TITLE,Statistiques,Statistics
UI_SCORES_EMPTY,"Aucune partie terminée pour l'instant.\nLancez une nouvelle partie pour commencer votre historique.","No completed games yet.\nStart a new game to build your history."
UI_SCORES_MATCHES,Parties terminées : %d,Games completed: %d
UI_SCORES_WINS,Victoires : %d,Wins: %d
UI_SCORES_LOSSES,Défaites : %d,Losses: %d
UI_SCORES_WIN_RATE,Taux de victoire : %d %%,Win rate: %d%%
UI_COMMON_BACK,RETOUR,BACK
